Street_Name,Total_Crashes,Fatal_Crashes,Serious_Injuries,Dominant_Jurisdiction,Mixed_Jurisdiction,SPDLIMIT,LANES
MOUNT OLIVE RD,1,0,0,City of Memphis,False,25.0,2
MILLINGTON ST,1,0,0,City of Memphis,False,40.0,2
HELENE RD,1,0,0,City of Memphis,False,30.0,2
E FAIRWAY AVE,1,0,1,City of Memphis,False,30.0,2
KINGS TRAIL CV,1,0,0,City of Memphis,False,25.0,2
HUNTER AVE,1,0,0,City of Memphis,False,30.0,2
DEADRICK AVE,1,0,1,City of Memphis,False,35.0,2
ARRINGTON AVE,1,0,0,City of Memphis,False,30.0,2
BLANCHARD RD,1,0,0,City of Memphis,False,30.0,2
PRATT ST,1,0,0,City of Memphis,False,30.0,2
GREY RD,1,0,0,City of Memphis,False,30.0,2
N US HIGHWAY 51,1,0,0,City of Memphis,False,55.0,2
KINARD CV,1,0,0,City of Memphis,False,25.0,2
RALSTON AVE,1,0,0,City of Memphis,False,30.0,2
COMMONWEALTH DR,1,0,0,City of Memphis,False,30.0,2
CRAIGMONT DR,1,0,0,City of Memphis,False,35.0,2
FAIR MEADOW RD,1,0,0,City of Memphis,False,30.0,2
ROBBIEDON ST,1,0,0,City of Memphis,False,30.0,2
W MITCHELL RD,1,0,1,City of Memphis,False,35.0,2
MILL STREAM DR,1,0,0,City of Memphis,False,30.0,2
SHARPE AVE,1,0,0,City of Memphis,False,35.0,2
SAXON AVE,1,0,0,City of Memphis,False,30.0,2
VILLAGE GREEN LN,1,0,0,City of Memphis,False,25.0,2
MARTY ST,1,0,0,City of Memphis,False,30.0,2
W CAROLINA AVE,1,0,0,City of Memphis,False,30.0,2
FOOTE PARK PL,1,0,0,City of Memphis,False,25.0,2
GARLAND ST,1,0,0,City of Memphis,False,30.0,2
WOODMONT DR,1,0,0,City of Memphis,False,30.0,2
BELLE FOREST DR,1,0,1,City of Memphis,False,30.0,2
OBERLE AVE,1,0,0,City of Memphis,False,30.0,2
KIMBALL AVE,1,0,1,City of Memphis,False,40.0,2
SELECT AVE,1,0,0,City of Memphis,False,30.0,2
EVELYN AVE,1,0,0,City of Memphis,False,30.0,2
OVERLEA CV,1,0,0,City of Memphis,False,25.0,2
AMBERGATE LN,1,0,0,City of Memphis,False,30.0,2
N MORRISON ST,1,0,1,City of Memphis,False,30.0,2
CRESTON AVE,1,0,0,City of Memphis,False,30.0,2
SEQUOIA AVE,1,0,0,City of Memphis,False,30.0,2
JOUBERT AVE,1,0,1,City of Memphis,False,30.0,2
PLATO AVE,1,0,0,City of Memphis,False,30.0,2
E MITCHELL RD,1,0,0,City of Memphis,False,45.0,7
KETCHUM RD,1,0,0,City of Memphis,False,40.0,4
EASTMAN RD,1,0,0,City of Memphis,False,30.0,2
SAINT ELMO AVE,1,0,1,City of Memphis,False,35.0,2
SAINT AGNES DR,1,0,1,City of Memphis,False,30.0,2
HUGENOT ST,1,0,0,City of Memphis,False,35.0,2
GLEASON AVE,1,0,0,City of Memphis,False,30.0,2
US HIGHWAY 64,1,0,1,TDOT state route,False,45.0,6
WARFORD ST,1,0,0,City of Memphis,False,45.0,5
FLOWERS ST,1,0,0,City of Memphis,False,30.0,2
MOUNTAIN TERRACE ST,1,0,0,City of Memphis,False,30.0,2
LEWEIR ST,1,0,0,City of Memphis,False,30.0,2
INNOVATION DR,1,0,1,City of Memphis,False,30.0,2
GOODLETT RD,1,0,1,City of Memphis,False,35.0,2
MYERS RD,1,0,0,City of Memphis,False,30.0,2
240 E TO 385 E,1,0,0,Interstate ramp,False,45.0,2
DOGWOOD LN,1,0,0,City of Memphis,False,30.0,2
HASTINGS ST,1,0,0,City of Memphis,False,30.0,2
CANE MEADOW CIR,1,0,0,City of Memphis,False,30.0,2
SPUTNIK DR,1,0,0,City of Memphis,False,30.0,2
JOSEPHINE ST,1,0,1,City of Memphis,False,35.0,2
VERNON AVE,1,0,0,City of Memphis,False,30.0,2
MONTAGUE AVE,1,0,1,City of Memphis,False,30.0,2
BALL RD,1,0,0,City of Memphis,False,40.0,4
DEVONSHIRE AVE,1,0,0,City of Memphis,False,30.0,2
CRUMPLER RD,1,0,1,City of Memphis,False,45.0,2
