Street_Name,Total_Crashes,Fatal_Crashes,Serious_Injuries,Dominant_Jurisdiction,Mixed_Jurisdiction,SPDLIMIT,LANES
E FERNWOOD AVE,1,0,1,City of Memphis,False,30.0,2
NONCONNAH RD,1,0,0,City of Memphis,False,35.0,2
BERTA RD,1,0,0,City of Memphis,False,35.0,2
VILLAGE GREEN LN,1,0,0,City of Memphis,False,25.0,2
E MITCHELL RD,1,0,0,TDOT,False,45.0,7
GARLAND ST,1,0,0,City of Memphis,False,30.0,2
RALSTON AVE,1,0,0,City of Memphis,False,30.0,2
HANNA DR,1,0,0,City of Memphis,False,30.0,2
MIMOSA AVE,1,0,1,City of Memphis,False,30.0,2
TWELFTH RD,1,0,0,City of Memphis,False,30.0,2
ISHERWOOD RD,1,0,1,City of Memphis,False,30.0,2
N BELVEDERE BLVD,1,0,1,City of Memphis,False,35.0,2
WINCHESTER RD TO CARGO RD,1,0,0,City of Memphis,False,30.0,1
DARROW ST,1,0,0,City of Memphis,False,30.0,2
SAFE HARBOR DR,1,0,0,City of Memphis,False,30.0,2
PINE RIDGE LN,1,0,0,City of Memphis,False,30.0,2
PHILLIPS PL,1,0,0,City of Memphis,False,30.0,2
OLD BROMPTON CIR,1,0,0,City of Memphis,False,30.0,2
FREEMONT AVE,1,0,0,City of Memphis,False,30.0,2
SUMMITT ST,1,0,0,City of Memphis,False,30.0,2
HIGH POINT TER,1,0,0,City of Memphis,False,35.0,2
BIGELOW ST,1,0,1,City of Memphis,False,30.0,2
MENAGER RD,1,0,0,City of Memphis,False,30.0,2
E FAIRWAY AVE,1,0,1,City of Memphis,False,30.0,2
HELENE RD,1,0,0,City of Memphis,False,30.0,2
SOUTHLAND DR,1,0,0,City of Memphis,False,30.0,2
FOREST VIEW DR,1,0,0,City of Memphis,False,30.0,2
N WALNUT BEND RD,1,0,0,City of Memphis,False,30.0,2
MILLINGTON RD,1,0,1,City of Memphis,False,30.0,2
JONES RD,1,0,0,City of Memphis,False,30.0,2
MISSISSIPPI BLVD,1,0,0,City of Memphis,False,35.0,2
HENRY AVE,1,0,0,City of Memphis,False,30.0,2
SEA ISLE RD,1,0,0,City of Memphis,False,30.0,2
ROBIN HOOD LN,1,0,1,City of Memphis,False,35.0,2
MOUNT OLIVE RD,1,0,0,City of Memphis,False,25.0,2
EMILY AVE,1,0,1,City of Memphis,False,30.0,2
N GRAHAM ST,1,0,0,City of Memphis,False,40.0,5
BROWNLEE RD,1,0,0,City of Memphis,False,35.0,2
WINFIELD AVE,1,0,0,City of Memphis,False,35.0,2
COLONY PARK DR,1,0,0,City of Memphis,False,30.0,2
MILL STREAM DR,1,0,0,City of Memphis,False,30.0,2
EVELYN AVE,1,0,0,City of Memphis,False,30.0,2
OBERLE AVE,1,0,0,City of Memphis,False,30.0,2
CRUMPLER RD,1,0,1,City of Memphis,False,45.0,2
AMBERGATE LN,1,0,0,TDOT,False,30.0,2
CRESTON AVE,1,0,0,TDOT,False,30.0,2
CHANCERY ST,1,0,0,City of Memphis,False,30.0,2
BONNIE LN,1,0,1,City of Memphis,False,35.0,2
STRATFORD RD,1,0,0,City of Memphis,False,40.0,4
ALLENBROOKE CV,1,0,0,TDOT,False,25.0,2
COUNTRY HAVEN DR,1,0,0,City of Memphis,False,30.0,2
JOSEPHINE ST,1,0,1,City of Memphis,False,35.0,2
SPUTNIK DR,1,0,0,City of Memphis,False,30.0,2
DOGWOOD LN,1,0,0,City of Memphis,False,30.0,2
HASTINGS ST,1,0,0,City of Memphis,False,30.0,2
SAINT ELMO AVE,1,0,1,City of Memphis,False,35.0,2
HUGENOT ST,1,0,0,City of Memphis,False,35.0,2
MOUNTAIN TERRACE ST,1,0,0,City of Memphis,False,30.0,2
IVAN RD,1,0,0,City of Memphis,False,30.0,2
SAINT JUDE PL,1,0,0,TDOT,False,30.0,4
WILLOWVIEW AVE,1,0,0,City of Memphis,False,30.0,2
CAPE HENRY DR,1,0,1,City of Memphis,False,30.0,2
CAMBRIDGE AVE,1,0,1,City of Memphis,False,30.0,2
STAGE AVE,1,0,0,City of Memphis,False,45.0,2
S PARKWAY W,1,0,1,City of Memphis,False,40.0,5
IVY RD,1,0,0,City of Memphis,False,30.0,2
CANDLEWYCK CIR,1,0,0,City of Memphis,False,30.0,1
S WALNUT BEND RD,1,0,1,TDOT,False,30.0,2
BARTON DR,1,0,1,City of Memphis,False,30.0,2
DEERSKIN DR,1,0,0,City of Memphis,False,30.0,2
MARBLE AVE,1,0,1,TDOT,False,30.0,2
POLK AVE,1,0,0,City of Memphis,False,30.0,2
PINEY WOODS AVE,1,0,0,City of Memphis,False,30.0,2
REESE RD,1,0,0,City of Memphis,False,30.0,2
SAM COOPER BLVD W,1,0,0,City of Memphis,False,65.0,2
CHERRY RD,1,0,0,City of Memphis,False,40.0,4
ARRINGTON AVE,1,0,0,TDOT,False,30.0,2
DAVIS CIR,1,0,1,City of Memphis,False,30.0,2
DWIGHT RD,1,0,0,City of Memphis,False,35.0,2
GLORY CIR,1,0,0,City of Memphis,False,30.0,2
DAWN DR,1,0,0,City of Memphis,False,30.0,2
RALEIGH SPRINGS MALL DR,1,0,1,TDOT,False,15.0,2
LOCUST ST,1,0,0,City of Memphis,False,30.0,2
BLAKEMORE RD,1,0,1,City of Memphis,False,30.0,2
EASTBROOK LN,1,0,0,City of Memphis,False,30.0,2
BIRCHFIELD DR,1,0,0,City of Memphis,False,30.0,2
ALICE AVE,1,0,0,City of Memphis,False,35.0,2
MAVERICK AVE,1,0,0,City of Memphis,False,30.0,2
HICKORY LEAF DR,1,0,0,City of Memphis,False,30.0,2
S CLEVELAND ST,1,0,0,City of Memphis,False,35.0,5
HERNANDO RD,1,0,0,City of Memphis,False,35.0,2
WAYFARER CIR,1,0,1,City of Memphis,False,30.0,2
COMBS ST,1,0,0,City of Memphis,False,30.0,2
LARCH LN,1,0,0,City of Memphis,False,30.0,2
SHEFFIELD AVE,1,0,0,City of Memphis,False,30.0,2
E DISON AVE,1,0,0,City of Memphis,False,35.0,2
CROMWELL AVE,1,0,0,City of Memphis,False,35.0,2
SARATOGA AVE,1,0,1,City of Memphis,False,30.0,2
WORTHINGTON ST,1,0,1,City of Memphis,False,30.0,2
HOBSON RD,1,0,0,City of Memphis,False,30.0,2
ANGELUS ST,1,0,0,City of Memphis,False,30.0,2
E ALSTON AVE,1,0,0,City of Memphis,False,30.0,2
HODGE RD,1,0,1,City of Memphis,False,30.0,2
ARROWHEAD AVE,1,0,1,City of Memphis,False,30.0,2
HAVEN CT,1,0,0,City of Memphis,False,30.0,2
BEVERLY HILL ST,1,0,0,City of Memphis,False,30.0,2
HACKS CROSS RD,1,0,0,City of Memphis,False,45.0,7
SALMON DR,1,0,0,City of Memphis,False,30.0,2
FEDEX FORUM ALY,1,0,0,City of Memphis,False,30.0,2
GLEASON AVE,1,0,0,City of Memphis,False,30.0,2
BALL RD,1,0,0,City of Memphis,False,40.0,4
MARTY ST,1,0,0,City of Memphis,False,30.0,2
MEADOWS LN,1,0,0,City of Memphis,False,30.0,2
RIDGEWAY ST,1,0,0,City of Memphis,False,30.0,2
DEVONSHIRE AVE,1,0,0,City of Memphis,False,30.0,2
VERNON AVE,1,0,0,City of Memphis,False,30.0,2
VALDAZ RD,1,0,0,City of Memphis,False,30.0,2
PRINCE RUPERT LN,1,0,0,City of Memphis,False,30.0,2
MARYNELLE ST,1,0,0,City of Memphis,False,30.0,2
WATSON ST,1,0,0,City of Memphis,False,30.0,2
SHADOWLINE DR,1,0,0,City of Memphis,False,30.0,2
ANNES CIR,1,0,0,City of Memphis,False,30.0,2
HOSKINS RD,1,0,0,City of Memphis,False,30.0,2
FLETCHER PARK CIR N,1,0,0,City of Memphis,False,30.0,2
FAIRMONT AVE,1,0,0,City of Memphis,False,30.0,2
N ANGELA RD,1,0,0,City of Memphis,False,30.0,2
N SIXTH ST,1,0,0,City of Memphis,False,30.0,2
FOOTE PARK PL,1,0,0,City of Memphis,False,25.0,2
LUCY AVE,1,0,0,City of Memphis,False,30.0,2
N PARKWAY,1,0,0,TDOT,False,40.0,2
CHEVRON RD,1,0,1,TDOT,False,35.0,2
GOODLETT RD,1,0,1,City of Memphis,False,35.0,2
N PAULINE ST,1,0,0,City of Memphis,False,30.0,5
SCOTT ST,1,0,0,City of Memphis,False,35.0,2
SANGA RD,1,0,0,City of Memphis,False,35.0,2
40 S TO 240 E,1,0,0,City of Memphis,False,45.0,1
JULIAN CT,1,0,0,City of Memphis,False,30.0,2
S AUBURNDALE ST,1,0,0,TDOT,False,30.0,2
MCREE ST,1,0,0,City of Memphis,False,30.0,2
N MONTGOMERY ST,1,0,0,City of Memphis,False,30.0,2
W MITCHELL RD,1,0,1,City of Memphis,False,35.0,2
N MORRISON ST,1,0,1,City of Memphis,False,30.0,2
JOUBERT AVE,1,0,1,City of Memphis,False,30.0,2
KETCHUM RD,1,0,0,City of Memphis,False,40.0,4
W CAROLINA AVE,1,0,0,City of Memphis,False,30.0,2
BELLE FOREST DR,1,0,1,City of Memphis,False,30.0,2
LINDEN AVE,1,0,0,TDOT,False,30.0,2
REST AREA,1,0,0,City of Memphis,False,25.0,1
S WALDRAN BLVD,1,0,0,City of Memphis,False,30.0,2
S SECOND ST,1,0,0,TDOT,False,35.0,3
RUSSWOOD RD,1,0,0,City of Memphis,False,30.0,2
FAIR MEADOW RD,1,0,0,City of Memphis,False,30.0,2
COMMONWEALTH DR,1,0,0,City of Memphis,False,30.0,2
CRAIGMONT DR,1,0,0,City of Memphis,False,35.0,2
EXCHANGE AVE,1,0,0,City of Memphis,False,30.0,2
ELMWOOD PARK ST,1,0,0,City of Memphis,False,,2
ORCHI RD,1,0,0,TDOT,False,30.0,2
