MstrRecNbrTxt,CollisionDate,CollisionDteTime,YearNmb,Month,DayOfWeek,Hour,Latitude,Longitude,InjuryClass,PersonType,NonMotoristLocation,RelationToJunction,LightCondition,MannerOfCollision,FirstHarmfulEvent,VictimsInCrash
300903929,2023-08-09,2023-08-09 23:20:00,2023,8,Wednesday,23,35.13909,-90.01824,Suspected Minor Injury,Pedestrian,Intersection-On Roadway not in Crosswalk,Intersection-Related,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300900416,2023-07-22,2023-07-22 22:00:00,2023,7,Saturday,22,35.15403,-90.057465,Suspected Minor Injury,Pedestrian,Not Intersection-Adjacent to Roadway,Non-Junction,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300901845,2023-07-30,2023-07-30 20:29:00,2023,7,Sunday,20,35.10118,-90.07481,Possible Injury,Pedestrian,Intersection-On Roadway not in Crosswalk,Intersection,Dark-Not Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300901156,2023-07-27,2023-07-27 00:50:00,2023,7,Thursday,0,35.07445,-89.90562,Suspected Serious Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Non-Junction,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300869139,2023-02-23,2023-02-23 06:21:00,2023,2,Thursday,6,35.166588,-89.86284,Fatal,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Non-Junction,Dawn,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300904546,2023-08-12,2023-08-12 20:37:00,2023,8,Saturday,20,35.149094,-89.906364,Possible Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Intersection,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300902662,2023-08-03,2023-08-03 21:18:00,2023,8,Thursday,21,35.03486,-89.86643,Possible Injury,Pedestrian,Intersection-On Roadway not in Crosswalk,AccelDecelLane,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300900716,2023-07-23,2023-07-23 22:29:00,2023,7,Sunday,22,35.142204,-90.03157,Suspected Minor Injury,Pedestrian,Not Intersection-Bike Path,Non-Junction,Dark-Not Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300901885,2023-07-30,2023-07-30 11:00:00,2023,7,Sunday,11,35.046,-89.82275,Suspected Serious Injury,Pedestrian,Intersection-On Roadway Crosswalk Not Available,Intersection,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300900964,2023-07-25,2023-07-25 22:58:00,2023,7,Tuesday,22,35.053246,-90.00796,Suspected Minor Injury,Pedestrian,Intersection-Unknown,Intersection,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300900967,2023-07-26,2023-07-26 00:48:00,2023,7,Wednesday,0,35.16556,-89.94653,Suspected Serious Injury,Pedestrian,Intersection-On Roadway Crosswalk Not Available,Intersection,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300899759,2023-07-19,2023-07-19 17:15:00,2023,7,Wednesday,17,35.141266,-90.05578,Possible Injury,Pedestrian,Intersection-On Roadway not in Crosswalk,Intersection,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300901923,2023-07-28,2023-07-28 07:00:00,2023,7,Friday,7,35.240741,-89.785015,Possible Injury,Pedestrian,Not Intersection-Adjacent to Roadway,Non-Junction,Dawn,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300902719,2023-08-03,2023-08-03 12:05:00,2023,8,Thursday,12,35.143955,-90.01564,Possible Injury,Pedestrian,Not Intersection-Bike Path,Intersection-Related,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300900766,2023-07-23,2023-07-23 23:22:00,2023,7,Sunday,23,35.107105,-89.98499,Suspected Serious Injury,Pedestrian,Intersection-On Roadway Crosswalk Not Available,Non-Junction,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300904394,2023-08-12,2023-08-12 01:40:00,2023,8,Saturday,1,35.17534,-89.83642,No Injury,Other Non-Motorist,Not Intersection-Unknown,Non-Junction,Dark-Lighted,Other,Other,1
300901974,2023-07-31,2023-07-31 12:00:00,2023,7,Monday,12,35.149644,-90.050468,Possible Injury,Pedestrian,Intersection-In Crosswalk,Intersection-Related,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300911560,2023-09-17,2023-09-17 11:25:00,2023,9,Sunday,11,35.168365,-90.01061,Possible Injury,Pedestrian,Not Intersection-Outside Traffic,Non-Junction,Daylight,Angle,Other,1
300908723,2023-09-02,2023-09-02 16:20:00,2023,9,Saturday,16,35.18472,-89.93168,Suspected Minor Injury,Pedestrian,Not Intersection-Outside Traffic,Unknown,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300907385,2023-08-27,2023-08-27 09:00:00,2023,8,Sunday,9,35.02,-90.00509,Possible Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Intersection,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300906374,2023-08-22,2023-08-22 09:33:00,2023,8,Tuesday,9,35.115482,-89.946815,Possible Injury,Pedestrian,Not Intersection-In Parking Lane,OtherLocation,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300910383,2023-09-11,2023-09-11 20:44:00,2023,9,Monday,20,35.172894,-89.94124,Possible Injury,Pedestrian,Not Intersection-On Roadway Crosswalk not Available,Non-Junction,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300910386,2023-09-11,2023-09-11 20:01:00,2023,9,Monday,20,35.08439,-90.01848,Possible Injury,Pedestrian,Intersection-On Roadway not in Crosswalk,Non-Junction,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1
300911842,2023-09-19,2023-09-19 06:30:00,2023,9,Tuesday,6,35.208244,-90.00381,Possible Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Non-Junction,Dark-Unknown Lighting,Not Collision with Motor Vehicle in Transport,Pedestrian,1
