MstrRecNbrTxt,CollisionDate,CollisionDteTime,YearNmb,Month,DayOfWeek,Hour,Latitude,Longitude,InjuryClass,PersonType,NonMotoristLocation,RelationToJunction,LightCondition,MannerOfCollision,FirstHarmfulEvent,VictimsInCrash,InMemphis,StateRoute_NAME,StateRoute_F_System,StateRoute_SPDLIMIT,StateRoute_LANES,StateRoute_ALTNAME_1,StateRoute_Council_District,DistToStateRoute_m,Street_Name,DistToStreet_m,Street_SPDLIMIT,Street_LANES,Street_ONEWAY,Street_CITY_L,Street_COUNTY_L,Seg_OBJECTID,DistToSeg_m,Ownership,Rule_Fired,Classification_Basis,Matched_Street,is_limited_access,is_override,is_corner_case,Jurisdiction_prev
301032288,8/6/2025,8/6/2025 3:59,2025,8,Wednesday,3,35.105316,-89.87507,Fatal,Pedestrian,Not Intersection-On Roadway Crosswalk not Available,Non-Junction,Dark-Not Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,POPLAR AVE,Principal Arterial,40.0,6.0,57,5.0,10.03147165,POPLAR AVE,14.44755997,40,6,B,MEMPHIS,SHELBY,47151,14.44755997308433,TDOT state route,state_route_overlap,"state route: 100% overlap, name=POPLAR",POPLAR AVE,False,False,False,TDOT state route
300919809,10/27/2023,10/27/2023 13:46,2023,10,Friday,13,35.07241,-89.90506,Fatal,Pedestrian,Not Intersection-On Roadway Crosswalk not Available,Non-Junction,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,,,,,,,2441.227577,S PERKINS RD,39.97400178,40,7,B,MEMPHIS,SHELBY,49379,39.974001777025045,City of Memphis,city_residual,city: no state-route overlap,S PERKINS RD,False,False,False,City of Memphis
301000434,2/7/2025,2/7/2025 14:00,2025,2,Friday,14,35.08563,-89.895996,Possible Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Intersection-Related,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,,,,,,,1829.491498,WILLOW RD,0.086328051,40,4,B,MEMPHIS,SHELBY,51544,0.0863280514309658,City of Memphis,city_residual,city: no state-route overlap,WILLOW RD,False,False,False,City of Memphis
301028225,7/14/2025,7/14/2025 0:42,2025,7,Monday,0,35.090973,-89.966515,Suspected Serious Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,AccelDecelLane,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,LAMAR AVE,Principal Arterial,40.0,5.0,4,4.0,2.337784105,LAMAR AVE,0.21351746,40,5,B,MEMPHIS,SHELBY,48199,0.2135174595071822,TDOT state route,state_route_overlap,"state route: 100% overlap, name=LAMAR",LAMAR AVE,False,False,False,TDOT state route
300981903,10/25/2024,10/25/2024 22:50,2024,10,Friday,22,35.217547,-90.003422,Fatal,Pedestrian,Not Intersection-On Roadway Crosswalk not Available,Non-Junction,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,,,,,,,1983.975776,FRAYSER BLVD,0.299649942,40,5,B,MEMPHIS,SHELBY,49867,0.29964994214815643,City of Memphis,city_residual,city: no state-route overlap,FRAYSER BLVD,False,False,False,City of Memphis
301027786,7/10/2025,7/10/2025 22:25,2025,7,Thursday,22,35.13366,-89.95719,Suspected Serious Injury,Pedestrian,Not Intersection-On Roadway Crosswalk not Available,Non-Junction,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,2,True,WALNUT GROVE RD,Minor Arterial,35.0,5.0,23,5.0,5.104622944,WALNUT GROVE RD,0.456004414,35,5,B,MEMPHIS,SHELBY,47022,0.45600441446503465,TDOT state route,state_route_overlap,"state route: 100% overlap, name=WALNUT GROVE",WALNUT GROVE RD,False,False,False,TDOT state route
301013733,4/22/2025,4/22/2025 16:03,2025,4,Tuesday,16,35.185863,-90.03467,Possible Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Through Roadway,Daylight,Not Collision with Motor Vehicle in Transport,Other,1,True,,,,,,,61.72156933,THOMAS ST,61.20430422,35,4,B,MEMPHIS,SHELBY,46722,61.20430422232225,TDOT state route,state_route_overlap,"state route: 100% overlap, name=THOMAS",THOMAS ST,False,False,False,TDOT state route
301009007,3/28/2025,3/28/2025 20:35,2025,3,Friday,20,35.1619,-89.91725,Possible Injury,Pedestrian,Intersection-In Crosswalk,Intersection,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,,,,,,,1436.188203,WARING RD,9.010040793,35,2,B,MEMPHIS,SHELBY,73878,9.010040793009916,City of Memphis,city_residual,city: no state-route overlap,WARING RD,False,False,False,City of Memphis
300998274,1/25/2025,1/25/2025 20:05,2025,1,Saturday,20,35.0698,-89.90615,Possible Injury,Pedestrian,Not Intersection-On Roadway Crosswalk not Available,AccelDecelLane,Dawn,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,,,,,,,2364.298861,PRIVATE DR,34.62117738,30,2,B,MEMPHIS,SHELBY,35199,34.62117737595133,City of Memphis,city_residual,city: no state-route overlap,PRIVATE DR,False,False,False,City of Memphis
301023804,6/16/2025,6/16/2025 16:36,2025,6,Monday,16,35.137383,-89.99691,Possible Injury,Pedestrian,Intersection-In Crosswalk,Intersection,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,,,,,,,273.8099262,S TUCKER ST,0.098261459,35,2,B,MEMPHIS,SHELBY,84420,0.09826145890016155,City of Memphis,city_residual,city: no state-route overlap,S TUCKER ST,False,False,False,City of Memphis
