MstrRecNbrTxt,CollisionDate,CollisionDteTime,YearNmb,Month,DayOfWeek,Hour,Latitude,Longitude,InjuryClass,PersonType,NonMotoristLocation,RelationToJunction,LightCondition,MannerOfCollision,FirstHarmfulEvent,VictimsInCrash,InMemphis,Jurisdiction,StateRoute_NAME,StateRoute_F_System,StateRoute_SPDLIMIT,StateRoute_LANES,StateRoute_ALTNAME_1,StateRoute_Council_District,DistToStateRoute_m,Jurisdiction_prev
301071113,2026-03-22,2026-03-22 01:30:00,2026,3,Sunday,1,35.020687,-89.95011,Suspected Serious Injury,Pedestrian,Not Intersection-Bike Path,Intersection-Related,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,TDOT,E SHELBY DR,Principal Arterial,45.0,7.0,175,3.0,8.960424289512725,TDOT
301074948,2026-04-12,2026-04-12 21:32:00,2026,4,Sunday,21,35.125786,-90.00115,Suspected Serious Injury,Pedestrian,Not Intersection-Outside Traffic,"Driveway, Alley Access, etc",Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,City of Memphis,,,,,,,794.3394383053416,City of Memphis
301075525,2026-04-15,2026-04-15 19:39:00,2026,4,Wednesday,19,35.11159,-90.05228,Possible Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Through Roadway,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,City of Memphis,,,,,,,271.4963901173253,City of Memphis
301074651,2026-04-10,2026-04-10 15:57:00,2026,4,Friday,15,35.107227,-89.98316,No Injury,Pedestrian,Not Intersection-On Roadway Crosswalk Availability Unknown,OtherLocation,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,City of Memphis,,,,,,,166.333462769789,City of Memphis
301033012,2025-08-10,2025-08-10 01:02:00,2025,8,Sunday,1,35.054753,-89.8291,Fatal,Pedestrian,Not Intersection-Outside Traffic,Non-Junction,Dark-Lighted,Rear to Side,Other,1,True,TDOT,STATE ROUTE 385,Freeway and Expressway,65.0,3.0,NONCONNAH PKWY,2.0,3.6578479711783,TDOT
301076080,2026-04-18,2026-04-18 23:25:00,2026,4,Saturday,23,35.115795,-90.04454,Suspected Serious Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Non-Junction,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,City of Memphis,,,,,,,948.3194439616002,City of Memphis
301006644,2025-03-16,2025-03-16 01:59:00,2025,3,Sunday,1,35.168148,-89.86397,Fatal,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,Non-Junction,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,City of Memphis,,,,,,,589.5564986514669,City of Memphis
301075323,2026-04-14,2026-04-14 01:40:00,2026,4,Tuesday,1,35.09949,-89.86321,Possible Injury,Pedestrian,Not Intersection-On Roadway Not In Crosswalk,OtherLocation,Dark-Lighted,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,City of Memphis,,,,,,,324.3276548003746,City of Memphis
301075328,2026-04-14,2026-04-14 17:39:00,2026,4,Tuesday,17,35.064632,-89.86523,Possible Injury,Pedestrian,Intersection-On Roadway not in Crosswalk,Non-Junction,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,City of Memphis,,,,,,,1110.341798568272,City of Memphis
301071963,2026-03-26,2026-03-26 16:00:00,2026,3,Thursday,16,35.031788,-90.03665,Possible Injury,Pedestrian,Intersection-On Roadway Crosswalk Not Available,Intersection,Daylight,Not Collision with Motor Vehicle in Transport,Pedestrian,1,True,City of Memphis,,,,,,,1047.2708173794758,City of Memphis
